udm,ru
Влад : - Полина Губайдуллина,Влада Полина Губадуллина
"Можга , Глазов , Сарапул , Татарстан ...","Можга Глазова , Сарапул , Татарстан"
Игорь Гуменников,Игорь Гуменников
Кыӵе буёлозэ быръёно ?,Какая краска выбирает
Кин гинэ татчы лыктымтэ !,Кто только сюда придет
Лилия ГАРАЕВА,Лилия Гараева
Миляуша НИГАМАТУЛЛИНА,Миляуша Нигаматуллина
Галина АЛЕКСЕЕВА,Галина Алексеева
"Александр Бикузин , Григорий Фомин , « Мынам Удмуртие » телеканал","Александр Бикузин , Григорий Фомин , я на телеканале Удмуртии"
Мынам Удмуртие,Я вУдмуртии
Альбина Бушмакина,Альбина Бушмакина
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
"- Мар война та , мар война ...","Что за война , что за война"
Владимир Михайлов,Владимир Михайлов
Номыр уг адӟиськы,ничего не вижу
Людмила Сурчакова,Людмила Сурчакова
— Азьпалан вал Польша,Впереди лошади перед Польше
Татын соку выль часть люкало вал,новость здесь собирает часть новостей
Гожтӥ заявление но гуртэ бертӥ,написал заявление и вернулся в деревню
Трактор принять кари,Принял трактор
Комиссиын пукисьёс куд-огез уг но валало мынэсьтым верамме,"на комиссии сидел , и я не понял , что говорил вчера сегодня на комиссии сидел , и я не понял , что говорил"
Людмила Сурчакова,Людмила Сурчакова
Туж секыт вал ужаны,Очень тяжесть на лошади работает
Милемлы винтовка но дӥськут сётӥзы,мы дали винтовку и одежду
Гожтӥз Анисимов Григорий . »,Григорий Анисимов написал
Николай Анисимов,Николай Анисимов
Евгений Самсонов,Евгений Самсонов
Любовь Тихонова,Любовь Тихонова
"Угось историлы дышетэм сяна , мон « Поиск » клубен но кивалтӥ","Ведь историю научили я , кроме поиска клуба и руководства"
Иван Аркашев,Иван Аркашев
"- Паськытэсь , шонересь ульчаос кулэ",Прямую улицу надо
Таос кыл сёто вылӥ куноослы,сегодня слышимый этот звонок выше дана гостю слышимый этот звонок выше дана гостю
Нырысетӥ старт сётэ Президент,Сегодня президент дал старт
Котельникова но И,Котельников и Котельников
"- Ньыль ар ужасько ни тракторен , - шуэ « Надежда » хозяйствоысь егит механизатор Леонид Никитин","Четыре года , работая на тракторе , сказала Надежда , хозяйство молодое , механизатор"
Куромес прессэн люкам,Солома собирал пресс
Та ферма бадӟым,Эта ферма большая
Ферма азбарын ӝутӥське на эшшо одӥг корпус,ферма во дворах подняли ещ в одном корпусе
Кулэ вал мукетыз словарь,Надо к другим лошадьм в словарь
Мукетыз компания компьютеръёслэн клавиатураоссы бордын ужа,В других компаниях около компьютера работает
Калашниковлэн комплексэз,Калашников в комплексе
« Мынам Удмуртие » радио,Я в Удмуртии на радио
"Пенчевез , Р",Пенчев Пенчев
"Тютинэз , Г",Тютина Тютина
"Широкихез , М",Широких Широких
"Вепревез , В",Вепрев Вепрев
"Терскиез , Н",Терский терский
Кошкыны уд ӵыды,уйти не могу
Николай Петров,Николай Петров
Светлана Кибардина « Мынам Удмуртие » телеканал,"Светлана Кибардина , я на телеканале вУдмуртии"
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
Александр Бикузин « Мынам Удмуртие » телеканал,"Александр Бикузин , я на телеканале вУдмуртии"
Ольга Ардашева « Мынам Удмуртие » телеканал,"Ольга Ардашева , я на телеканале вУдмуртии"
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
Йырыз пӧзе вал,В голове вариться лошадь
Александр Горбуновлэн,Александр Горбунов
Сьӧдчабейлэсь ӝук будэтэ гемоглобинэз,в каших гречихи выращивают гемоглобин
Креветкаен салат,Салом креветок
Сергей Захаров,Сергей Захаров
Лариса Гурьянова,Лариса Гурьянова
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
« Открытый город » фестиваль удмуртоме,Обудмуртился город на фестивале
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
муниципал кылдытэтлэн йырызлы Вячеслав Березинлы,Муниципальное образование в голове Вячеслава Березина
Зинаида Никитина - Культурая министерствоысь отделэн кивалтӥсь :,Зинаида Никитина в министерстве культуры руководит
Кулэ вал Страсбургысь судлэн адресэз,Надо лошадью Страсбурга по русому адресу
Та но уг юртты ?,И это не помогло
Ижевск город,В Ижевске город
Можга город,Можга в городе
Тӥ талы дась ?,Вы готовы на это
Алнаш черкогурт,Алнаши село
"Конференция , « котырес ӝӧк » , концерт вал",На конференции круглый стол концерт лошадей
"Артистъёслы но - Бекмановъёслы , Ураськинлы",Бекманова и Ураськин артисты
Эшшо мар ?,Что ж ещ
Куинь ар ужай,Три года работали три года
"Ну , кызьы ?",Ну как
Кузнецов но мукетъёс,Кузнецов и другие
Налогъёсъя полициын ужаз,налоги в полиции работали
Елена Никитина,Елена Никитина
"Ижкар , Гуманитарной лицей",Гугуманитарный лицей в Ижевске
"Ижкар , Удмурт театр",Удмуртский театр в Ижевске
Елена Никитина,Елена Никитина
Елена Тугашова,Елена Тугашова
Елена Тугашова,Елена Тугашова
Елена Тугашова,Елена Тугашова
Ольга Корепанова,Ольга Корепанова
Елена Миннигараева,Елена Миннигараева
Виртуальной улонэ вамыш,Виральные шаги в жизни
"Ярдур , аэропорт но парк",Берег и аэропорт
Ольга Корепанова,Ольга Корепанова
Та инты хозяйстволы арендае сётэмын,Это место в аренде дано
Наталия Самсонова,Наталия Самсонова
Бадӟым шур паськыт,Широкая река
Нокин уг адӟиськы,Никто не видел
Елена Рябина,Елена Рябина
Юрий Лобанов вераз :,Юрий Лобанов говорил
Наталия Самсонова,Наталия Самсонова
Та нылкышно туннэ вал залын пукисьёс пӧлын,сегодня дама эта дама сидит среди лошадей
Богдан Анфиногеновлэн творчествоеныз но !,Богдан Анфиногенов и творчество
Зинаида Рябинина,Зинаида Рябинина
Валентина Емельянова,Валентина Емельянова
Шишкин адмиралэз,адмирал Шишкин
Такая трагедия,"Баран , трагедия"
"Светлана Добрякова , Светлана Буланова , Юрий Егоров « Мынам Удмуртие » телеканал","Светлана Добрякова Светлана Буланова , Юрий Егоров , я на телеканале Удмуртии"
Ольга КОРЕПАНОВА,Ольга Корепанова
Но С,Но и
Лыткинлэн мадёсчиез но мукет,Лыткина и другие повествователи
Блоклэн « Двенадцать » поэмаоссылы,В блоке двенадцать поэм
- Мон - удмурт,Удмуртский я
Праздникен туннэ тонэ !,ты празднующий сегодня
Тӥледыз яратӥськом,вы любите
Туннэ ... туннэ праздник ...,сегодня праздник
Мон уг шедьты мукетсэ,я не нашел других
Уз сёт тыныд пересьмыны,тебе не дадут состариться
Игорь мукетыз доры кошкиз,Игорь ушел от других
Митрофанов кошкиз,Митрофанов ушел
Лена Ильина :,Лену Ильину
Оля Бикузина :,Оле Бикузин
Наташа Дмитриева :,Наташа Дмитриева
Татьяна Волкова :,Татьяна Волкова
Оля Бикузина :,Оле Бикузин
Валентина Емельянова,Валентина Емельянова
Валентина Емельянова,Валентина Емельянова
"Светлана Пикулева , « Мынам Удмуртие » радио","Светлана Пикулева , я в Удмуртии на радио"
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
Алина Антонова :,Алина Антонова
Эльвира Панченко :,Эльвира Панченко
Анастасия Яковлева :,Анастасия Яковлева
"Уксё уг тыро , тыро ке но , туж пичи","Деньги не заполнены , если заполнены и очень маленькие"
Нырысетӥ вамышъёс - Мон будэмын театрын,На первом шаге я к росту театра
Мон воксё мукет !,Я совсем другой
Нокинлэсь но,И никто
Луша Шихова,Луша Шихова
Ирина Кулдкепп,Ирина Кулдкеппа
Мон пессимист,Пессимист я
Ижысь ульчаын,Улицы Ижевска
Луша Шихова,Луша Шихова
Микта Орина,Никита Арин
Дмитрий Глухов,Дмитрий Глухов
Вамыштӥсько синучконэ доры,Шагнул около зеркала
Богдан Анфиногенов,Богдан Анфиногенов
синъёсад — гуашь,Глаза гуашь в глаза
тон мынам идеальной нылаш . * * *,Я идеальная девушка
Мон тонэ адӟисько,я вижу тебя
Николай Смирнов,Николай Смирнов
мукет дуннеын ...,Другой мир
онлайн контактын ...,Взайти на контакт онлайн
Лариса Монако,Лариса Монако
Вепсъёс яке водьёс »,Водь или вепс
"Ну , кызьы адӟисько ?",Ну как видишь
Лыктӥськом одӥгез станок доры,Сегодня пришло около одного станка
Владимир Никитьевич Васильев,Владимир Никитьевич
Мар кароно ?,Что делать
Таиз Леонид Санников,Леонид Санников
Семьязэ но гожтэ . * * *,семья и напишет
Антоновалэн семьяез сярысь ке ...,Если об Антонове об семье
Таиз - судысь,Русая эта
Кин ке усьтэ,Если кто откроет
Мон - Ляля Максимиляновна,Я Ляля Максимиляновна
Ляля Максимиляновна,Ляля Максимиляновна
Мынам Воваелэн гинэ кык шифоньер ни дӥськутэз,Я Вова уже два шифоньера в одежде
Уггес валаськы,Не понять
Кытын тон ?,Где ты
Монэ шуо Дон Жуан,Жуан мне сказал
"Балезино , Балезино",Балезино Балезино
Татын дуно мыным Зина,Здесь я цена Зине
Ческытак пӧзьтэ вина,варится сладкой водки
Завьялын вите Марья,Марья Завьялова пять
Караоке вӧлмемын,Караоке распространился
"Красногорье , Красногорье","Красногорье , Красногорье"
Сарапулысь Сараен,Сарапул Сарапул
Шарканысен Шураен,Шура Шарканов
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
« Новый человек паук »,Пауков новый человек
Елена Никитина,Елена Никитина
Валентина Емельянова,Валентина Емельянова
Зинаида Рябинина,Зинаида Рябинина
Валентина Емельянова,Валентина Емельянова
Валентина Емельянова,Валентина Емельянова
Елена Никитина,Елена Никитина
"Яке мон сонгыро , яке ...",Или я глух или
Та спектаклез чагыр экранысь но адӟытӥзы,Голубизна видела этот спектакль на экране и видела
Лариса Гурьянова,Лариса Гурьянова
"Никитинъёс , Васильевъёс",Никитина
Школа - адӟем карымон,"школа видела , сегодня делает вчера школа видела , делает"
"- Кыӵе , кыӵе адресэз ? - тунсыкъяськизы гурт администрациын","Какими адресами интересовалась деревня , администрация"
Мар веранэз Европа сярысь ?,Говорит об чем Европа
- Кыӵе семьяын тӥ будэмын ?,В какой семье вы рост
Семьямы бадӟым вал,В семье большая лошадь
Автор программаосын ужасал,Авторы программы работают
Маи вунэ ?,"Завтра забылось , что"
"Луӵӵе музон азе шулдыръяськыны ветлом , шуо гуртоос","Лучшее других веселее , скажу , ходить по деревне Лучшее других сегодня веселее , скажу , ходить по деревне"
"- Уг , - абдраз Баринов",Баринов не удивился
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
﻿Даша но Ксения Воронцоваос,Даша и Княжгин
Лидия Николаевна Романова,"Лидия Николаевна , Романова"
Любовь Тихонова,Любовь Тихонова
Михаил Вахрушев,Михаил Вахрушев
Валентина Емельянова,Валентина Емельянова
"Людмила Перевощикова , Татьяна Захарова","Людмила Перевощикова , Татьяна Захарова"
- Мар карод на ?,Завтра Ещ что делать
"Кылсярысь , Надежда Перевощикова шуэ :","Например , Надежда Перевощикова сказала"
Сомында литература люкамын !,Собираем столько литературы
Елена Сараматова,Елена Сараматова
Кызьы уд вожъяськы ?,Как не завидовать
Валентина Емельянова,Валентина Емельянова
Елена Скворцова,Елена Скворцова
Валентина Емельянова,Валентина Емельянова
Евдокия ИЛЬИНЫХ,Евдокия Ильиных
Валентина Емельянова,Валентина Емельянова
Анна Байдуллина,Анна Байдуллина
"Эстония , Тарту город",Эстония Тарту в городе
Елена Скворцова,Елена Скворцова
Надежда Данилова,Надежда Данилова
Валерий Хохряков,Валерий Хохряков
Укно азьын,Окно перед
Мар кароно ?,Что делать
"Школаын , педучилищеын сяна , университетын но",Кроме школы педучилище и университет
"Роза Ивановна Яшина , Иван Васильевич Тараканов , Валентин Кельмакович Кельмаков ...","Роза Ивановна Ивановна Яшина , Иван Васильевич Тараканов , Валентин Кельмакович Кельм"
Елена Скворцова,Елена Скворцова
Йӧл кӧня ?,Сколько молока
Якты юл,Як Юлов
Чайковскийлэсь « Лебединое озеро » балетсэ,"Лебединое озеро , балет"
Лукьянов но мукетъёсыз,Лукьянов и другие
Мар кароно ?,Что делать
- Соку мон пионер галстукен ветлӥсько на вал,"Тогда я пионер , галстук , хожу на лошади ещ"
"Виктор Васильев , ужысь ветеран :",Виктор Васильев на работе ветерана
- Ужасько вал Ижысь электромеханикая заводын,лошадь работает на электромеханике в Ижевске
"Анатолий , « Удмуртнефтьысь » сварщик :",Анатолий Удмуртнефть сварщиков
Татьяна Банникова,Татьяна Банникова
Геннадий Романов,Геннадий Романов
Та но уг юртты,И это не помогло
Прокурорлэсь ужзэ быдэсъясь Вера Брускевич валэктӥз :,"Прокурор выполняет работу , говорит Брускевичу Прокурор сегодня выполняет работу , говорит Брускевичу"
Елена Сараматова,Елена Сараматова
Геннадий Романов,Геннадий Романов
Мумы-бубые — крестьянъёс,"Родители , родители крестьянина"
Мон витетӥез вал,Я на пять лошадей
Лыктӥзы заседание,приходил на заседание
« Бадӟым гастрольёс,Большой гастроль
Россиын сыӵеез одӥг гинэ,В России таких только одна
Людмила Сурчакова,Людмила Сурчакова
Кибашлы В,Мастерство мастера
Туж яратэ спортэз,Завтра очень любим в спорте
"Мон туж шумпотӥ , кызьы уд мыны","я очень радовался , как не иду сегодня вчера я очень радовался , как не иду"
Трактор буксовать каре,Буксовать трактор
Кизнерысь архиве ветлӥ,Кизнер ходил в архив
— пенсионерлэн кулэмез сярысь загсысь справка,пенсионеру о смерти пенсионера в ЗАГСе об справках
Можга кар,Можга в городе
Альбина Даминова,Альбина Даминова
Елена Рябина,Елена Рябина
Пермьысь вылӥ военной училищеысь курсант,Выше в Пермии военные училища курсанты
Калашниковен ӵош,Калашников вместе
Балезиноос азьпалан вавожъёс но эграос гинэ,впереди Варож Балезин и Ваож только игра
Елена Тугашова,Елена Тугашова
Гурт ульча,Улицы деревни
Михаил Алексеевич Юкаменскысь но Играысь райкомъёсын кивалтэм на,Михаил Алексеевич Юкаменский и Игры в райкоме руководили ещ
Казаньысь университетын дышетске Александр Владимиров,В Казани университет научил Александра Владимирова
Валентина Николаевна Геннадий Красильников писательлэн музееныз кивалтэ,"Валентина Николаевна , Геннадий Красильников , руководил музее"
Алнашысь сельсоветын но милям Капитон Бобровмы пукиз,"Алнаши , Алнаши , сельсовет и мы Капитонов Бобров сидели"
Татын « Прогресс » хозяйстволэн фермаосыз,Здесь прогресс в хозяйстве фермы
Глазов кар,Глазов в городе
"- Кытысь тӥ , песянай ?",Откуда вы бабушка
- Мар тон татын кариськод ?,ты здесь что делаешь
"- Мар мон , мон ...",Что я о чём
"- Шонер , Сандыр",Прямый Александр
Гульзида ГАЗИЗУЛЛИНА,Гульзида Газизуллина
Мынам Удмуртие,Я вУдмуртии
Кыкетӥ арнязэ — вутэк,Два дня воды
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Галина Богданова,Галина Богданова
- Кыӵе сьӧлыклэсь ?,Какой грех
Алексей Пронин,Алексей Пронин
Иван Аркашев,Иван Аркашев
Елена Никитина,Елена Никитина
Людмила Сурчакова,Людмила Сурчакова
Тятя укмыстон куинен кулӥз,Папа девяносто три дня назад умер
Кузнецова - шорысез,В середине Кузнецовы
Милемыз Сарапулын формировать каризы,Сарапул делал нам проект
Кузнецова - шорысез,В середине Кузнецовы
Солдатъёс но караулэн кивалтӥсь изё,Солдаты и караул руководящие спят
Любовь Тихонова,Любовь Тихонова
Зинаида Рябинина,Зинаида Рябинина
Валентина Кутузова,Валентина Кутузова
Геннадий Романов,Геннадий Романов
Зинаида Рябинина,Зинаида Рябинина
Елена Тугашова,Елена Тугашова
Егитъёслы П,"Молодая , молодая"
Таяз феврале Г,Это этот февраль
Елена Тугашова,Елена Тугашова
Елена Никитина,Елена Никитина
Владимир Владимирович шуиз :,Владимир Владимирович сказал
Елена Никитина,Елена Никитина
"Трык , Торокан , Котомка , Адями , Париж ...","Трык таракан , котомка человека в Париже"
"« Русское лото » , « Золотой ключ » , « Бинго » ...",Русское лото золотое ключи бинго
Туж секыт дыръёс но вал,Очень тяжесть времени и лошади
- Мон черке ветлӥсько,я в церковь хожу
- Монэ яратӥсьсэ гинэ,Я люблю только
- Историен дышетӥсь,историю научили
- Мынам картэ - удмурт,Я делаю удмуртскую
Сыӵе шумпотӥ !,такой радовался
Мар кароно ?,Что делать
- Мон - эгызоос,Я близнец
Ми мотоциклэн мынӥськом,мы идем на мотоцикле
- Мыным но семья дуногес,Я и семья за цену
Николай Евгеньевич - егит специалист,Николай Евгеньевич молодой специалист
- Милям экеосмы зарниесь,Мы мальчики золотые
Тиражлэсь усемзэ маин валэктод ?,"тираж упал , объяснил , что упал вчера тираж упал , объяснил , что упал"
Школаен кивалтӥсьмы но милям удмурт,"мы руководящим в школе , и Удмуртский"
Семьямы бадӟым вал,В семье большая лошадь
Дима внуксы дышетске Ижысь культурая колледжын,Дима Внуков научил культуру в колледже
Елена Волкова,Елена Волкова
« Мон туж эмоциональной адями,Я очень эмоциональный человек
Леонтьев но мукетъёсыз,Леонтьев и другие
Шкляева сярысь очерк,Шкляев об очерках
Валентина Емельянова,Валентина Емельянова
Ольга Прокопьева,Ольга Прокопьева
Елена Скворцова,Елена Скворцова
Любовь Тихонова,Любовь Тихонова
Афанасий Степанов,Афанасий Степанов
Валентина Емельянова,Валентина Емельянова
Елена Скворцова,Елена Скворцова
Клавдия Вахрушева,Клавдия Вахрушева
"Шуом , Америкаысь , Китайысь",", сказал Китай"
Шкляев редакторлэн « Вуж арен ! » бадӟым статьяез,Тетива Шкляева в журнале в большом году статьи
« Кытын дышетӥсьёслэн уждунзы ? »,Где научили зарплату
Петров автормы,Автор Петров
Выль арзы Навруз шуиське,новость о новых новостях сказала
Сыӵе адями вӧзам вал,Таких людей около лошади
Мыным аспирантурае мыноно вал,Я иду в аспирантуру на лошади
"- Уг , но ...",И не
Марина мон дорыгес лыктэ,Марина пришла около меня
Та бордын мар тунсыкоез ?,Около чего интерес
Григорьевлэн черодэз,Григорьева очередь
Саранскын - куинетӥ,Три Саранска
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
Байтеряково Байтэрек,"Байтеряков , Байтерек"
Удмуртский Тоймобаш Туймыйыл,Туймыйл Тоймобаш
Можга Можга черкогурт,"Можга , Можга , село"
Горняк Гозег,Гозег Горняк
Новый Карамбай Выль Карамбай,Карамбай новость Карамбай
Сырьезшур Тыло,Огнь в Сырьезшуре
Сепыч Сепыч шур,"Сепыч Сепыч , Сепыч , Река"
Иж Оӵ шур,Иж в Ижевске реки
Лоза Лозо,"Лоза , Лоза"
Нязь Нязь шур,"Нязь , Нязь , река"
Нязь-Ворцы Шыкмет,Нязь Шыкмет
Мазьги Нюнягурт,Мазьги Нюнягурт
Игра Эгра,Игры в игре
Зинаида Уракова,Зинаида Уракова
- Федерацилэн бюджетысьтыз,Бюджет федерации
Баймурзинлэсь гожъямъёссэс,Баймурзин писало
Николай Павлов,Николай Павлов
- Кыӵе официант ? !,Какой официант
Кин - кинэ ?,Кто кто
"Ыж - адямиез , яке адями - ыжез ?",Овца или человек овца
Татьяна Чернова,Татьяна Чернова
Зинаида Вахрушева,Зинаида Вахрушева
Надя Имполитова,Надя Имполитова
Лилия ГАРАЕВА,Лилия Гараева
"Шуом , Барабановка школа",Барабановка скажет в школе
Ирина САМИГУЛОВА,Ирина Самигулова
Туп но куас,Лыжи и мячи
Собин фермер хозяйство,"Собина , фермеры , хозяйство"
Шӧкыч уром,Шершень полоешь
Елена Леконцева,Елена Леконцева
Любовь Тихонова,Любовь Тихонова
Анна Александрова,Анна Александрова
"Твен , яратоно Ж",Твен любит тв
"Толстой , Ф",Толстый Толстой
— Араз кӧня адямиез водителе дышетӥськоды ?,"разгорелся , сколько людей сегодня научили вчера разгорелся , сколько людей научили"
Любовь Тихонова,Любовь Тихонова
Татьяна Зорина,Татьяна Зорина
Светлана Федулова,Светлана Федулова
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
"- Таня , кытысь тон ?",Откуда ты Таня
- Мон корректор,Я корректор
- « Монография » - нырысетӥ книгаед ?,Первая книга монографии
Луонлык сётӥське,возможность дать
Борис Артемьевич Мельников :,Борис Артемьевич
Мон таможняын ужасько »,я работаю таможня
Военкомат бордын арысь аре ужало одӥг эмъясьёс,"Военкомат около года работает в одной , леча"
Мынӥз мукет эмъясьёс доры,"другие шли , сегодня лечили около вчера другие шли , лечили около"
Гуртэ лыктэ ... режиссёр !,деревня
Вожъяськизы егитъёс но,молодые и завидовали
Завклублэсь вуэн ведра куриз,Завклуб просил воду
Булгаковлэн « Мастер и Маргарита » романэзъя яке кыӵе ке мукет произведениосъя,"Булгакова и Маргарита мастер романа или какого , если другие произведения"
"Кылсярысь , Саша Бикузин , Елена Фролова , Руслан Нуриахметов","Например , Саша Бикузин , Елена Фролова , Руслан Нуриахметова"
Фома Кузьмичез тужгес ярато газетъёс,Фома Кузьмич очень любит газету
Тюрьмаын но улон пӧзе,В тюрьме и в жизни вариться
Кин ке талы пумит,"Если кто этого , напротив"
Мар кароно ?,Что делать
- Соку тӥ мар кароды ?,тогда вы делаете что делать
Уждунзэ но сётымтэ,И дали зарплату
Мар кароно ?,Что делать
- Терапевт доры ветлӥ,терапевт ходил
Борисовлэсь « Удмурт кыллюкамзэ »,Удмуртский словарь Борисова
Дисциплина татын туж вылӥын,Здесь дисциплина очень выше
Ми соку Полинаен Мунё театре ветлӥськом,мы тогда в театр на куклы ходили
"Катя , Катя , Катерина",Катя Катя Катя Катя Катя
Шудӥськод кӧня ролез,Сколько играет роль
Тон артист но,И ты артист
Любовь Тихонова,Любовь Тихонова
Вавож черкогурт,Вавож село
Алнаш черкогурт,Алнаши село
Кинлы сётӥське социальной стипендия ?,Кто дал социальную стипендию
Кытын но кинлы сётӥське социальной стипендия ?,Где и кому дадут социальную стипендию
Алнаш черкогурт,Алнаши село
Таин номыр уд кары,Сегодня эти ничего не делают
ДАРАЛИ ЛАВКАлэн логотипез : # выльпус,"Парча , лавки , логотип"
Кык Ленаос — Беспалова но Михайлова,Два на два Лены Беспалова и Михайлов
Мар кароно ?,Что делать
Кӧня ке токарьын но ветлӥ,Сколько токарь и сколько было
Кривоногов сярысь вераз,Кривоногов говорил об
Алнаш черкогурт,Алнаши село
Елена Тугашова,Елена Тугашова
"Шишкин , И",Шишкина и Шишкин
"Яшина , И",И Яшин
Мынӥ отчы,шли туда
Елена Никитина,Елена Никитина
Вуюисьлэсь ворпо « Радуга »,Радужная пестрота Радуги
Павел Чушъялов,Павел Чушъялов
Любовь Тихонова,Любовь Тихонова
Полиция учыръя уголовной уж ӝутӥз,полиция оглядывалась на уголовую работу
﻿Игнатий Гаврилов,Игнатий Гаврилов
Пичи гинэ улон сэрег,Только в маленьком углу жизни
- Тон шузи,Бестолково ты
Лев Игнатьевич — инженер-авиаконструктор,Лев Игнатьевич инженер авиаконструктора
Анна Евсеева,Анна Евсеева
Елена Скворцова,Елена Скворцова
Валентина Емельянова,Валентина Емельянова
Александр Бикузин,Александр Бикузин
Иван Аркашев,Иван Аркашев
Геннадий Романов,Геннадий Романов
Любовь Тихонова,Любовь Тихонова
Татын И,И здесь
Алексей Афанасьевич И,Алексей Афанасьевич и
Соку гурт хозяйство воксё куашкамын ни вал,Тогда в деревне хозяйство совсем разрушилось уже лошади
Александр Волков пыраз на Октябрьский каргуртысь Полесье микрорайонэ,"Александр Волков , Мякин , ещ октябрьского Каргурта Полесья в микрорайон"
Иван Аркашев,Иван Аркашев
Соку вуж клуб вал,Тогда тетива в клубе лошади
"Куинь ар ужаса , тожо кошкиз","Три года , работая тоже , ушли"
Мар кари премиен ?,Что делал премия
Нокызьы но,И никак
Ми отчы сценкаен мынӥмы,мы шли на сцену
"Игорь но , Москвае ветлыса , ужа",Игорь и Москва ходят работать
Та конкурс куинь люкетлэсь,На этом конкурсе три части
Кыӵе ке ӝытысь шӧдтэк шорысь кышноеныз ӵошен адӟи,Какой вечер неожиданно в середине концов жены увидел
"Володялы шуисько , та мар ке умойтэмлы , дыр","Володя сказал , что это неправильное время"
Елена Рябина,Елена Рябина
Музъемлэн йырсиез -,Волосы на земле
Кызьы ум ?,Как не
Кыӵе жалесь !,Жалко какой
Мар та таӵе ?,Что такое этот
Кулэ вал !,Надо на лошади
Мар шуид ?,"Сказал , что"
"Адӟом , адӟом !",вижу
тӧдьы кушман,Белый корнеплод
Туж бадӟым !,Очень большой
Ну и мар ?,Ну и что
Таиз шонер,Прямая эта
Толалтэ — выртэмъяське,Зимняя зима двигает
Кыӵе тон сюлмо !,Какое ты сердце
Кин сыӵе ӝокыт сикын,Кто такой глушь в лесу
"Нюрка , тон кытчы ?",Куда тебе Нюрка
"Мар , каникул ?",Что на каникулы
Мон но сӥзьыл школае мыно,я и осенью иду в школу
Елена Николаева,Елена Николаева
Геннадий Романов,Геннадий Романов
- Макем бадӟым комитетлэн архивез ?,Насколько больше комитет по архиву
Геннадий Романов,Геннадий Романов
Иван Аркашев,Иван Аркашев
Кудӥз милям ?,Мы о котором
Елена Сараматова,Елена Сараматова
Геннадий Романов,Геннадий Романов
"Кылсярысь , Надежда Григорьевна Туктароваен","Например , Надежда Григорьева Туктарова"
Кыкетӥ этажаз — школа,Два на два этажа школы
Первомайской каргуртын вал опытной станция,Каргурт Первомайский лошади на опытной станции
Валерий Баймурзин,Валерий Баймурзин
Колхозникъёс но туж куриллям,Колхозников и очень просили
- Мон дышетӥсь,я научил
Аръёс жалятэк адямиосты турнало,"Жалко , жало человеку"
Николай Павлов,Николай Павлов
Иван Аркашев,Иван Аркашев
Виктор Поздеев,Виктор Поздеев
Тронин спектакльёсын но шудыны яратэ,Тронина и Тронин любим играть в спектакль
Иван Аркашев,Иван Аркашев
Иван Аркашев,Иван Аркашев
Элина Васильева,Элина Васильева
Елена Рябина,Елена Рябина
Таиныз Виталий Салтыков ужа,Виталий Салтыков работает
"Лысву усьытозь , ужало","Падает роса , работает"
Иван Аркашев,Иван Аркашев
Ньылетӥ арзэ Гульзада Рафисовна кивалтэ гуртысь ФАП-ен,Четыре года Рафисова командовала деревне Фапа Фапов
- Законлы пумит ум мынӥське,"Закон , напротив , не идет"
- Татын - уг,Здесь не
Макем оскымонэсь та веранъёс ?,"Насколько это неопровержимо , говорит"
Ветлӥ одӥг удмурт кивалтӥсь доры,Удмуртский ходил около вчера Удмуртский ходил около
